"","X","Y","OBJECTID","stop_id","stop_code","stop_name","stop_desc","platform_code","platform_name","stop_lat","stop_lon","zone_id","stop_address","stop_url","level_id","location_type","parent_station","wheelchair_boarding","municipality","on_street","at_street","vehicle_type","Sidewalk_Width__ft_","Accessibility_Score","Sidewalk_Condition","Sidewalk_Material","Current_Shelter","Routes","Municipality_1","Neighborhood","created_user","created_date","last_edited_user","last_edited_date"
"28",-71.0656739996847,42.3274150002713,646745,"DB-2265",NA,"Newmarket","Newmarket - Commuter Rail",NA,"Commuter Rail",42.327415,-71.065674,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2265","",0,"place-DB-2265",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"29",-71.0656739996847,42.3274150002713,646746,"DB-2265-01",NA,"Newmarket","Newmarket - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.327415,-71.065674,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2265","",0,"place-DB-2265",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"30",-71.0656739996847,42.3274150002713,646747,"DB-2265-02",NA,"Newmarket","Newmarket - Commuter Rail - Track 2 (South Station)",2,"Track 2 (South Station)",42.327415,-71.065674,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2265","",0,"place-DB-2265",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"31",-70.96984799999,42.4499269998164,646749,"ER-0099",NA,"River Works","River Works (GE Employees only) - Commuter Rail",NA,"Commuter Rail",42.449927,-70.969848,"CR-zone-2",NA,"https://www.mbta.com/stops/place-ER-0099","",0,"place-ER-0099",2,"Lynn",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"32",-70.96984799999,42.4499269998164,646750,"ER-0099-01",NA,"River Works","River Works (GE Employees only) - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.449927,-70.969848,"CR-zone-2",NA,"https://www.mbta.com/stops/place-ER-0099","",0,"place-ER-0099",2,"Lynn",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"33",-70.96984799999,42.4499269998164,646751,"ER-0099-02",NA,"River Works","River Works (GE Employees only) - Commuter Rail - Track 2 (Boston)",2,"Track 2 (Boston)",42.449927,-70.969848,"CR-zone-2",NA,"https://www.mbta.com/stops/place-ER-0099","",0,"place-ER-0099",2,"Lynn",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"34",-70.9454210000925,42.4629529998436,646754,"ER-0115",NA,"Lynn","Lynn - Commuter Rail",NA,"Commuter Rail",42.462953,-70.945421,"CR-zone-2",NA,"https://www.mbta.com/stops/place-ER-0115","",0,"place-ER-0115",1,"Lynn",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"35",-70.9454210000925,42.4629529998436,646755,"ER-0115-01",NA,"Lynn","Lynn - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.462953,-70.945421,"CR-zone-2",NA,"https://www.mbta.com/stops/place-ER-0115","",0,"place-ER-0115",1,"Lynn",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"36",-70.9454210000925,42.4629529998436,646756,"ER-0115-02",NA,"Lynn","Lynn - Commuter Rail - Track 2 (Boston)",2,"Track 2 (Boston)",42.462953,-70.945421,"CR-zone-2",NA,"https://www.mbta.com/stops/place-ER-0115","",0,"place-ER-0115",1,"Lynn",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"37",-70.9225369998732,42.4737429995822,646758,"ER-0128",NA,"Swampscott","Swampscott - Commuter Rail",NA,"Commuter Rail",42.473743,-70.922537,"CR-zone-3",NA,"https://www.mbta.com/stops/place-ER-0128","",0,"place-ER-0128",1,"Swampscott",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"38",-70.9225369998732,42.4737429995822,646759,"ER-0128-01",NA,"Swampscott","Swampscott - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.473743,-70.922537,"CR-zone-3",NA,"https://www.mbta.com/stops/place-ER-0128","",0,"place-ER-0128",1,"Swampscott",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"39",-70.9225369998732,42.4737429995822,646760,"ER-0128-02",NA,"Swampscott","Swampscott - Commuter Rail - Track 2 (Boston)",2,"Track 2 (Boston)",42.473743,-70.922537,"CR-zone-3",NA,"https://www.mbta.com/stops/place-ER-0128","",0,"place-ER-0128",1,"Swampscott",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
